,img_name,Title,worker_id,name,desc,img_desc
0,1.jpg,Mona Lisa,WorkerID,point,nose,"Expression,Brightness,shape,structure,amazing"
1,1.jpg,Mona Lisa,WorkerID,point,right eyes,"Expression,Brightness,shape,structure,amazing"
2,1.jpg,Mona Lisa,WorkerID,point,left eyes,"Expression,Brightness,shape,structure,amazing"
3,1.jpg,Mona Lisa,WorkerID,point,face,"Expression,Brightness,shape,structure,amazing"
4,1.jpg,Mona Lisa,WorkerID,point,neck,"Expression,Brightness,shape,structure,amazing"
5,1.jpg,Mona Lisa,WorkerID,point,human,"Expression,Brightness,shape,structure,amazing"
6,1.jpg,Mona Lisa,AIN29LNXRARXY,mouth,"smile, enigmatic, lips, close","portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
7,1.jpg,Mona Lisa,AIN29LNXRARXY,bridge,"right side, background, arches","portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
8,1.jpg,Mona Lisa,AIN29LNXRARXY,armrest,"wood, brown, bottom center","portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
9,1.jpg,Mona Lisa,AIN29LNXRARXY,road,"left side, background, dirt","portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
10,1.jpg,Mona Lisa,AIN29LNXRARXY,dress,"brown, embroidered, fabric","portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
11,1.jpg,Mona Lisa,AIN29LNXRARXY,right hand,"bottom front, resting, white, clean","portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
12,1.jpg,Mona Lisa,A1CJ8CLM7987EQ,sleeve,"sleeve, arm, clothing",
13,1.jpg,Mona Lisa,A1CJ8CLM7987EQ,sleeve,"sleeve, arm, clothing",
14,1.jpg,Mona Lisa,A1CJ8CLM7987EQ,sky,"sky, up, sun, blue",
15,1.jpg,Mona Lisa,A1CJ8CLM7987EQ,forehead,"front, face, wrinkles",
16,1.jpg,Mona Lisa,A1CJ8CLM7987EQ,tree,"leaves, branch, roots",
17,1.jpg,Mona Lisa,A2HC04434S9TP0,hand,"fingers, arm, body, anatomy","painting, famous, forest, lake, dark, woman"
18,1.jpg,Mona Lisa,A2HC04434S9TP0,forest,"green, trees, background","painting, famous, forest, lake, dark, woman"
19,1.jpg,Mona Lisa,A2HC04434S9TP0,lake,"water, fresh, tasty, background","painting, famous, forest, lake, dark, woman"
20,1.jpg,Mona Lisa,A2HC04434S9TP0,vegetation,"dark brown, background, bushes","painting, famous, forest, lake, dark, woman"
21,1.jpg,Mona Lisa,A2HC04434S9TP0,forest,"green, trees, animals, branches","painting, famous, forest, lake, dark, woman"
22,1.jpg,Mona Lisa,A2HC04434S9TP0,forest,"green, trees, animals, branches","painting, famous, forest, lake, dark, woman"
23,1.jpg,Mona Lisa,ZCgDVlkp5,mona lisa,"female, outline, clear, realistic, dark","Mona Lisa, "
24,1.jpg,Mona Lisa,ZCgDVlkp5,eye,"female, eye, brown, clear, realistic","Mona Lisa, "
25,1.jpg,Mona Lisa,ZCgDVlkp5,hair,"dark, hair, female, long, straight","Mona Lisa, "
26,1.jpg,Mona Lisa,ZCgDVlkp5,hand,"hand, female, outline, soft, clean","Mona Lisa, "
27,1.jpg,Mona Lisa,ZCgDVlkp5,background,"green, background, blurred, dark, grassy","Mona Lisa, "
28,1.jpg,Mona Lisa,A3RERXGQS1129K,land mass,"dark brown mass of land, left, bottom corner","smiling woman, forerest, mountain scenory, dark backgorund,and sophistocated pose. "
29,1.jpg,Mona Lisa,A3RERXGQS1129K,trees,"a colletive of background scenory of trees or a forest, dark green","smiling woman, forerest, mountain scenory, dark backgorund,and sophistocated pose. "
30,1.jpg,Mona Lisa,A3RERXGQS1129K,river,"murky, mud colored, bodied of water between land mass","smiling woman, forerest, mountain scenory, dark backgorund,and sophistocated pose. "
31,1.jpg,Mona Lisa,A3RERXGQS1129K,hill,"dark brown land mass, right side, resembles a hill or mountain","smiling woman, forerest, mountain scenory, dark backgorund,and sophistocated pose. "
32,1.jpg,Mona Lisa,A3RERXGQS1129K,ground,"dark brown, left bottom corner","smiling woman, forerest, mountain scenory, dark backgorund,and sophistocated pose. "
33,1.jpg,Mona Lisa,AOV97Z3YMKLAQ,shoulder,"body part, woman, feminine","Mona Lisa, Leonardo da Vinci, Art, Painting, Famous"
34,1.jpg,Mona Lisa,AOV97Z3YMKLAQ,breast,"woman, body part, maternal","Mona Lisa, Leonardo da Vinci, Art, Painting, Famous"
35,1.jpg,Mona Lisa,AOV97Z3YMKLAQ,elbow,"body part, woman, mona lisa","Mona Lisa, Leonardo da Vinci, Art, Painting, Famous"
36,1.jpg,Mona Lisa,A2M3QMJC99DERS,iris,"left eye, brown, round","woman, smile, long hair, brown, calm"
37,1.jpg,Mona Lisa,A2M3QMJC99DERS,right iris,"right eye, round, brown","woman, smile, long hair, brown, calm"
38,1.jpg,Mona Lisa,A2M3QMJC99DERS,decoration,"lace, clothes decoration, light brown, neckline","woman, smile, long hair, brown, calm"
39,1.jpg,Mona Lisa,A2M3QMJC99DERS,thumb,"right hand, finger","woman, smile, long hair, brown, calm"
40,1.jpg,Mona Lisa,A2M3QMJC99DERS,pinky,"smallest finger, right hand","woman, smile, long hair, brown, calm"
41,1.jpg,Mona Lisa,A2M3QMJC99DERS,ring finger,"right hand, fourth finger","woman, smile, long hair, brown, calm"
42,1.jpg,Mona Lisa,A2M3QMJC99DERS,middler finger,"right hand, third finger","woman, smile, long hair, brown, calm"
43,1.jpg,Mona Lisa,A2M3QMJC99DERS,index,"right hand, second finger","woman, smile, long hair, brown, calm"
44,1.jpg,Mona Lisa,A2M3QMJC99DERS,pinky,"left hand, smallest finger","woman, smile, long hair, brown, calm"
45,1.jpg,Mona Lisa,A2M3QMJC99DERS,index,"left hand, second finger","woman, smile, long hair, brown, calm"
46,1.jpg,Mona Lisa,A2M3QMJC99DERS,middle finger,"left hand, third finger","woman, smile, long hair, brown, calm"
47,1.jpg,Mona Lisa,A2M3QMJC99DERS,ring finger,"left hand, fourth finger","woman, smile, long hair, brown, calm"
48,1.jpg,Mona Lisa,A2M3QMJC99DERS,eyelid,"right side, moon shaped","woman, smile, long hair, brown, calm"
49,1.jpg,Mona Lisa,A2M3QMJC99DERS,iris,"right eye, brown, round","woman, smile, long hair, brown, calm"
50,1.jpg,Mona Lisa,A2M3QMJC99DERS,iris,"left eye, round, brown","woman, smile, long hair, brown, calm"
51,1.jpg,Mona Lisa,A2M3QMJC99DERS,eyelid,"left eye, moon shaped","woman, smile, long hair, brown, calm"
52,1.jpg,Mona Lisa,A1SCA9REYZD5W2,human face,"monolissa,black, beauty",Mona Lisa Painting ; Leonardo da Vinci ; Mona Lisa's Smile ; Black Beauty ; Human Optical Illusion ; Famous Painting
53,1.jpg,Mona Lisa,A1SCA9REYZD5W2,sleeve,hand _ black _ clothing,Mona Lisa Painting ; Leonardo da Vinci ; Mona Lisa's Smile ; Black Beauty ; Human Optical Illusion ; Famous Painting
54,1.jpg,Mona Lisa,A1SCA9REYZD5W2,neck,"empty, clean, no jewels",Mona Lisa Painting ; Leonardo da Vinci ; Mona Lisa's Smile ; Black Beauty ; Human Optical Illusion ; Famous Painting
55,1.jpg,Mona Lisa,A2NV315LQL2QZ7,clothes,"dark,silk,classic","gray,classic, art, trees,woman"
56,2.jpg,The Starry Night,A2HC04434S9TP0,tree,"city, dark, large, triangular, smooth","Sun, Church, City, Dark, Night, trees"
57,2.jpg,The Starry Night,A2HC04434S9TP0,sun,"sky, orange, yellow, medium, circle, no texture","Sun, Church, City, Dark, Night, trees"
58,2.jpg,The Starry Night,A2HC04434S9TP0,church,"city, grey, small, triangle, smooth","Sun, Church, City, Dark, Night, trees"
59,2.jpg,The Starry Night,A2HC04434S9TP0,house,"city, grey, small, triangles, two visible windows, smooth","Sun, Church, City, Dark, Night, trees"
60,2.jpg,The Starry Night,A2HC04434S9TP0,mountain,"city, dark green, small, round shape","Sun, Church, City, Dark, Night, trees"
61,2.jpg,The Starry Night,A2HC04434S9TP0,trees,"city, green, medium-large, circular shape, smooth","Sun, Church, City, Dark, Night, trees"
62,2.jpg,The Starry Night,A1CJ8CLM7987EQ,star,"light, heat, sun, space, night","night, breeze, oil, colourful, bold"
63,2.jpg,The Starry Night,A1CJ8CLM7987EQ,star,"light, sun, star, heat, night","night, breeze, oil, colourful, bold"
64,2.jpg,The Starry Night,A1CJ8CLM7987EQ,wind,"breeze, wind, gust","night, breeze, oil, colourful, bold"
65,2.jpg,The Starry Night,A1CJ8CLM7987EQ,house,"dwelling, home, house, sleep","night, breeze, oil, colourful, bold"
66,2.jpg,The Starry Night,A1CJ8CLM7987EQ,mountain,"hill, mountain, mound","night, breeze, oil, colourful, bold"
67,2.jpg,The Starry Night,AIN29LNXRARXY,star,"sky, top, center, background, round",
68,2.jpg,The Starry Night,AIN29LNXRARXY,star,"sky, top, left, background, round",
69,2.jpg,The Starry Night,AIN29LNXRARXY,star,"sky, top, left, background, round",
70,2.jpg,The Starry Night,AIN29LNXRARXY,house,"bottom, center, dark, rural, village",
71,2.jpg,The Starry Night,AIN29LNXRARXY,house,"background, bottom, center, dark, rural, village",
72,2.jpg,The Starry Night,A2MOY7J4GG5CW8,star,"yellow, left, round","turbulent, night, thick brush strokes, fluid, rural, "
73,2.jpg,The Starry Night,A2MOY7J4GG5CW8,star,"round, left, white, yellow","turbulent, night, thick brush strokes, fluid, rural, "
74,2.jpg,The Starry Night,A2MOY7J4GG5CW8,house,"bottom, dark, small","turbulent, night, thick brush strokes, fluid, rural, "
75,2.jpg,The Starry Night,A2MOY7J4GG5CW8,house,"red, bottom, left","turbulent, night, thick brush strokes, fluid, rural, "
76,2.jpg,The Starry Night,A2MOY7J4GG5CW8,star,"round, top, yellow, blue","turbulent, night, thick brush strokes, fluid, rural, "
77,2.jpg,The Starry Night,AC9P9SHL0IXBL,cloud,"swirly, dashed, blue",Nighttime landscape with illuminated village
78,2.jpg,The Starry Night,AC9P9SHL0IXBL,house,"small, lit, unclear",Nighttime landscape with illuminated village
79,2.jpg,The Starry Night,AC9P9SHL0IXBL,bush,"greenish, curly, small",Nighttime landscape with illuminated village
80,2.jpg,The Starry Night,AC9P9SHL0IXBL,horizon,"obstructed, dark, uneven",Nighttime landscape with illuminated village
81,2.jpg,The Starry Night,AC9P9SHL0IXBL,cloud layer,"white, horizontal, striped",Nighttime landscape with illuminated village
82,2.jpg,The Starry Night,A2OMYDY8G8PNJE,moon,"moon, night sky, yellow, high above, shining, bright",
83,2.jpg,The Starry Night,A2OMYDY8G8PNJE,light,"glow, moon glow, shining, pale, yellow, glow of the moon, brush strokes",
84,2.jpg,The Starry Night,A2OMYDY8G8PNJE,sky,"night sky, blue, top, high up, shades of blue, nighttime, moody",
85,2.jpg,The Starry Night,A2OMYDY8G8PNJE,star,"glowing, shining, star, yellow, pale, magical",
86,2.jpg,The Starry Night,A2OMYDY8G8PNJE,house,"house, blue roof, small, bottom, to the left of a tree, simple",
87,2.jpg,The Starry Night,A2OMYDY8G8PNJE,tree,"small tree, dark, bottom right, brush strokes, simple",
88,2.jpg,The Starry Night,A2OMYDY8G8PNJE,church,"church, white, steeple, bright, middle, tall",
89,2.jpg,The Starry Night,AZE7YSINS9UNZ,star,star,
90,2.jpg,The Starry Night,A396GA8SHS2L41,wind,"blue, dark, bright, discontinuous, water like, center side","astounding, strange, fluidic, beautiful, dream, night"
91,2.jpg,The Starry Night,A396GA8SHS2L41,door,"dark, small, wooden made, black, rectangular","astounding, strange, fluidic, beautiful, dream, night"
92,2.jpg,The Starry Night,A396GA8SHS2L41,window,"dark, small, distant, wooden like, down side","astounding, strange, fluidic, beautiful, dream, night"
93,2.jpg,The Starry Night,A396GA8SHS2L41,window,"small, wooden made, glass, dark, brownish","astounding, strange, fluidic, beautiful, dream, night"
94,2.jpg,The Starry Night,A396GA8SHS2L41,window,"small, lit, down side, distant, wooden like","astounding, strange, fluidic, beautiful, dream, night"
95,2.jpg,The Starry Night,A396GA8SHS2L41,trees,"distant, bright, white, bluish, center positioned","astounding, strange, fluidic, beautiful, dream, night"
96,2.jpg,The Starry Night,AOV97Z3YMKLAQ,circle,"star,painting,green","sky, moonlight, sphere, greenish, abstract"
97,2.jpg,The Starry Night,AOV97Z3YMKLAQ,ball,"little, sky, star","sky, moonlight, sphere, greenish, abstract"
98,2.jpg,The Starry Night,AOV97Z3YMKLAQ,moon,"round, green, small","sky, moonlight, sphere, greenish, abstract"
99,2.jpg,The Starry Night,AOV97Z3YMKLAQ,nightfall,"big, bright, star","sky, moonlight, sphere, greenish, abstract"
100,2.jpg,The Starry Night,AOV97Z3YMKLAQ,landscape,"green, oil paint, art","sky, moonlight, sphere, greenish, abstract"
101,2.jpg,The Starry Night,A2CO8IM74HLYTL,light,"middle bottom of the image, a light outside an house","A big tree on the left side with houses, stars and the mmon"
102,2.jpg,The Starry Night,A2CO8IM74HLYTL,center light of a star,"the center of a star, more bright than the aura","A big tree on the left side with houses, stars and the mmon"
103,2.jpg,The Starry Night,A2CO8IM74HLYTL,center of a star,"the center of a star, more bright than the aura","A big tree on the left side with houses, stars and the mmon"
104,2.jpg,The Starry Night,A2CO8IM74HLYTL,the core of a star,"a brighter part of a star, his core, middle up on the left position","A big tree on the left side with houses, stars and the mmon"
105,2.jpg,The Starry Night,A2M3QMJC99DERS,trees,"bottom right, round, bushy, blue, green","night, swirls, starry, van gogh, blue, moon"
106,2.jpg,The Starry Night,A2M3QMJC99DERS,roof,"middle house, red, rooftop, triangular","night, swirls, starry, van gogh, blue, moon"
107,2.jpg,The Starry Night,A2M3QMJC99DERS,roof,"small house, triangular, bottom right side of painting","night, swirls, starry, van gogh, blue, moon"
108,2.jpg,The Starry Night,A2M3QMJC99DERS,trees,"round, group, green, dark","night, swirls, starry, van gogh, blue, moon"
109,2.jpg,The Starry Night,A1JPFK0JQLTJTC,star nucleus,"left of tree, left, gold, inside white, small, star center, center of star, small, iris, sun, by tree, left of tree, medium-sized, deep gold",
110,2.jpg,The Starry Night,A1X9BD3KDIA2QB,house,"home, confort, blue, gray",
111,2.jpg,The Starry Night,A1X9BD3KDIA2QB,house,"home, gray,confort",
112,2.jpg,The Starry Night,A1X9BD3KDIA2QB,house,"confort, home, sweet",
113,2.jpg,The Starry Night,A1X9BD3KDIA2QB,house,"home, confort",
114,2.jpg,The Starry Night,A1X9BD3KDIA2QB,grass,"green, blue, black, leaf",
115,2.jpg,The Starry Night,A1Z1L9F827UMHR,blue part,i am not sure but looks good,
116,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,building,"right, bottom, corner, behinfirst object in right bottom corner, white",
117,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,star,"top, right, yellow, corner, circle",
118,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,star,"right, grey blue, yellow center,",
119,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,house,"white, bottom, right, windows, pointed roof",
120,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,tree,"middle-right, next to church, black, green",
121,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,house,"partial, center, near tree, red striped roof",
122,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,star,"top, left, light blue, orange center",
123,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,house,"right, partial, obscure, right of church and partially exposed",
124,2.jpg,The Starry Night,A2RMR0ZSQ575XZ,house,"small, right, obscured partially",
125,4.jpg,Girl with a Pearl Earring,A2F9FURICZCOY3,face,"smile,left side,pointed nose",Cute Girl
126,4.jpg,Girl with a Pearl Earring,A2F9FURICZCOY3,right eye,"attractive, see left, black pupil",Cute Girl
127,4.jpg,Girl with a Pearl Earring,A1QC6WNXRWWPCC,eye,"female, white, smile, cotten","ear, right eye, nose, dress"
128,4.jpg,Girl with a Pearl Earring,A1QC6WNXRWWPCC,lips,"female, red, smile","ear, right eye, nose, dress"
129,4.jpg,Girl with a Pearl Earring,A1QC6WNXRWWPCC,ear,"female, white","ear, right eye, nose, dress"
130,4.jpg,Girl with a Pearl Earring,A1QC6WNXRWWPCC,nose,"female, white","ear, right eye, nose, dress"
131,4.jpg,Girl with a Pearl Earring,A1QC6WNXRWWPCC,ear,"female, white","ear, right eye, nose, dress"
132,4.jpg,Girl with a Pearl Earring,A1QC6WNXRWWPCC,dress,"brown,female dress","ear, right eye, nose, dress"
133,4.jpg,Girl with a Pearl Earring,A1CJ8CLM7987EQ,hairband,"blue, hairband, hat",
134,4.jpg,Girl with a Pearl Earring,A1CJ8CLM7987EQ,hair,"hair, blonde, yellow",
135,4.jpg,Girl with a Pearl Earring,A1CJ8CLM7987EQ,neck,"neck, slim, turned",
136,4.jpg,Girl with a Pearl Earring,A1CJ8CLM7987EQ,lips,"red, open, talking",
137,4.jpg,Girl with a Pearl Earring,A1CJ8CLM7987EQ,nose,"small, turned, nose",
138,4.jpg,Girl with a Pearl Earring,A25OQ8GWGF6S1G,earring,"left ear, silver, round, shines",
139,4.jpg,Girl with a Pearl Earring,AIN29LNXRARXY,mouth,"lips, semi opened, smile","earring, portrait, pearl, seventeenth century, Vermeer"
140,4.jpg,Girl with a Pearl Earring,A3RQVHWHESFK4D,eye brow,"above eye, light color, thin","girl, looking over shoulder, smiling, young, head scarf"
141,4.jpg,Girl with a Pearl Earring,A3RQVHWHESFK4D,left eye brow,"light color, thin, over left eye","girl, looking over shoulder, smiling, young, head scarf"
142,4.jpg,Girl with a Pearl Earring,A3RQVHWHESFK4D,head scarf,"cloth, blue, yellow, head wrap","girl, looking over shoulder, smiling, young, head scarf"
143,4.jpg,Girl with a Pearl Earring,A3RQVHWHESFK4D,teeth,"teeth, white, smile","girl, looking over shoulder, smiling, young, head scarf"
144,4.jpg,Girl with a Pearl Earring,A3RQVHWHESFK4D,shoulder,"side of upper arm, facing viewer, covered by dress","girl, looking over shoulder, smiling, young, head scarf"
145,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,pupil and iris,"pupil, iris, eye color, dark, staring","beautiful, dark, somber, interesting, poignant, searching"
146,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,pupil and iris,"pupil, iris, eye color, dark, staring","beautiful, dark, somber, interesting, poignant, searching"
147,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,collar,"white, collar, bright, soft, cloth","beautiful, dark, somber, interesting, poignant, searching"
148,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,cheek,"cheek, cheekbone, side of face, smooth, flesh colored","beautiful, dark, somber, interesting, poignant, searching"
149,4.jpg,Girl with a Pearl Earring,A2MDR0R3KTYTGV,chin,"chin, jaw, below mouth","beautiful, dark, somber, interesting, poignant, searching"
150,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,turban,"headwear, blue and beige, keeps hair in place",the high end equivalent of today's professional portrait
151,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,earring,"white pearl earring, jewel, in the middle of the painting",the high end equivalent of today's professional portrait
152,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,girl_s face,"famous person, light pink skin, portrait, focus of the painting, relaxed",the high end equivalent of today's professional portrait
153,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,background,"dark brown, complementary colors, shadows",the high end equivalent of today's professional portrait
154,4.jpg,Girl with a Pearl Earring,A1NZ4C0GO5HS87,dress,"green and yellow tint, white collar, silk dress or gown",the high end equivalent of today's professional portrait
155,4.jpg,Girl with a Pearl Earring,AOV97Z3YMKLAQ,forehead,"face, girl, head","face, girl, painting, photo, blond"
156,4.jpg,Girl with a Pearl Earring,AOV97Z3YMKLAQ,shoulder,"body part, girl, left","face, girl, painting, photo, blond"
157,4.jpg,Girl with a Pearl Earring,AOV97Z3YMKLAQ,neck,"skin, girl, body part","face, girl, painting, photo, blond"
158,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,lip,"upper lip, pink, soft","young woman, portrait, scarf, pearl earring, headscarf"
159,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,lip,"bottom, pink, full, smooth, soft","young woman, portrait, scarf, pearl earring, headscarf"
160,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,headscarf,"binding, white, cloth","young woman, portrait, scarf, pearl earring, headscarf"
161,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,nostril,"round, black, left","young woman, portrait, scarf, pearl earring, headscarf"
162,4.jpg,Girl with a Pearl Earring,A2M3QMJC99DERS,headscarf,"blue, shaded side, darker","young woman, portrait, scarf, pearl earring, headscarf"
163,5.jpg,Guernica,A3ISOGMY4IZJQ8,bull,"angry, mean, strong , scared","chaotic, abstract, suffering, worried, agony"
164,5.jpg,Guernica,A3ISOGMY4IZJQ8,face,"worried, scared, tear drop shaped","chaotic, abstract, suffering, worried, agony"
165,5.jpg,Guernica,A3ISOGMY4IZJQ8,light,"eye shaped, spiky edges","chaotic, abstract, suffering, worried, agony"
