ID,title,artist,url
1,Lamentation,Giotto Di Bondone,
2,Annunciation,Fra Angelico,
3,The Arnolfini Portrait,Jan Van Eyck,
4,The Baptism of Christ,Piero Della Francesca,
5,The Birth of Venus,Sandro Botticelli,
6,The Garden of Earthly Delights,Hieronymus Bosch,
7,Mona Lisa,Leonardo Da Vinch,
8,The School of Athens,Raffaello,
9,Sistine Chapel Ceiling,Michelangelo,
10,Bacchus and Ariadne,Tiziano(Titian),
11,The Ambassadors,Hans Holbein The Younger,
12,Netherlandish Proverbs,Pieter Bruegel The Elder,
13,The Burial of the Count of Orgaz,El Greco,
14,Charles 1 on Horseback,Anthony Van Dyck,
15,Las Meninas,Diego Velazquez,
16,The Art of Painting,Johannes Vermeer,
17,The Marriage Contract,William Hogarth,
18,Mr and Mrs Andrews,Thomas Gainsborough,
19,An Experiment on a Bird in the Air Pump,Joseph Wright,
20,The Death of Marat,Jacques-Louise David,
21,The Valpincon Bather,Jean-Auguste-Dominique Ingres,
22,The Third of May 1808,Francisco De Goya,
23,Wanderer above the Sea of Fog,Caspar David Friedrich,
24,The Raft of the Medusa,Theodore Gericault,
25,The Hay Wain,John Constable,
26,The Dancing Class,Edgar Degas,
27,A Sunday on La Grande Jatte,Georges-Pierre Seurat,
28,The Artist's Studio,Gustave Courbet,
29,The Waterlily Pond,Claude Monet,
30,The Large Bathers,Paul Cezanne,
31,Guernica,Pablo Picasso,
32,The Kiss,Gustave Klimt,