,ID,title,artist,url
0,1,Lamentation,Giotto Di Bondone,https://www.wikiart.org/en/giotto/lamentation-the-mourning-of-christ-1306-1
1,2,Annunciation,Fra Angelico,https://www.wikiart.org/en/fra-angelico/annunciation-1443
2,3,The Arnolfini Portrait,Jan Van Eyck,https://www.wikiart.org/en/jan-van-eyck/the-arnolfini-wedding-the-portrait-of-giovanni-arnolfini-and-his-wife-giovanna-cenami-the-1434
3,4,The Baptism of Christ,Piero Della Francesca,https://www.wikiart.org/en/piero-della-francesca/baptism-of-christ-1450
4,5,The Birth of Venus,Sandro Botticelli,https://www.wikiart.org/en/sandro-botticelli/the-birth-of-venus-1485
5,6,The Garden of Earthly Delights,Hieronymus Bosch,https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-5
6,7,Mona Lisa,Leonardo Da Vinch,https://www.wikiart.org/en/leonardo-da-vinci/mona-lisa
7,8,The School of Athens,Raffaello,https://www.wikiart.org/en/raphael/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511
8,9,Sistine Chapel Ceiling,Michelangelo,https://www.wikiart.org/en/michelangelo/sistine-chapel-ceiling-1512
9,10,Bacchus and Ariadne,Tiziano,https://www.wikiart.org/en/titian/bacchus-and-ariadne-1523
10,11,The Ambassadors,Hans Holbein The Younger,https://www.wikiart.org/en/hans-holbein-the-younger/the-ambassadors-1533
11,12,Netherlandish Proverbs,Pieter Bruegel The Elder,https://www.wikiart.org/en/pieter-bruegel-the-elder/netherlandish-proverbs-1559
12,13,The Burial of the Count of Orgaz,El Greco,https://www.wikiart.org/en/el-greco/the-burial-of-the-count-of-orgaz-1587
13,14,Charles 1 on Horseback,Anthony Van Dyck,https://www.wikiart.org/en/anthony-van-dyck/charles-i-on-horseback
14,15,Las Meninas,Diego Velazquez,https://www.wikiart.org/en/diego-velazquez/las-meninas-detail-of-the-lower-half-depicting-the-family-of-philip-iv-of-spain-1656
15,16,The Art of Painting,Johannes Vermeer,https://www.wikiart.org/en/johannes-vermeer/the-art-of-painting
16,17,The Marriage Contract,William Hogarth,https://www.wikiart.org/en/william-hogarth/the-marriage-contract
17,18,Mr and Mrs Andrews,Thomas Gainsborough,https://www.wikiart.org/en/thomas-gainsborough/mr-and-mrs-andrews-1749
18,19,An Experiment on a Bird in the Air Pump,Joseph Wright,https://www.wikiart.org/en/joseph-wright/an-experiment-on-a-bird-in-the-air-pump-1768
19,20,The Death of Marat,Jacques-Louise David,https://www.wikiart.org/en/jacques-louis-david/the-death-of-marat-1793
20,21,The Valpincon Bather,Jean-Auguste-Dominique Ingres,https://www.wikiart.org/en/jean-auguste-dominique-ingres/the-bather-of-valpin%C3%A7on
21,22,The Third of May 1808,Francisco De Goya,https://www.wikiart.org/en/francisco-goya/the-third-of-may-1808-execution-of-the-defenders-of-madrid-1814-1
22,23,Wanderer above the Sea of Fog,Caspar David Friedrich,https://www.wikiart.org/en/caspar-david-friedrich/the-wanderer-above-the-sea-of-fog
23,24,The Raft of the Medusa,Theodore Gericault,https://www.wikiart.org/en/theodore-gericault/the-raft-of-the-medusa-1819
24,25,The Hay Wain,John Constable,https://www.wikiart.org/en/john-constable/the-hay-wain-1821
25,26,The Dance Class,Edgar Degas,https://www.wikiart.org/en/edgar-degas/the-dance-class-1874
26,27,A Sunday on La Grande Jatte,Georges-Pierre Seurat,https://www.wikiart.org/en/georges-seurat/sketch-with-many-figures-for-sunday-afternoon-on-grande-jatte-1884
27,28,The Artist's Studio,Gustave Courbet,https://www.wikiart.org/en/gustave-courbet/the-artist-s-studio-1855
29,30,The Large Bathers,Paul Cezanne,https://www.wikiart.org/en/paul-cezanne/large-bathers-1906
30,31,Guernica,Pablo Picasso,https://www.wikiart.org/en/pablo-picasso/guernica-1937
31,32,The Kiss,Gustave Klimt,https://www.wikiart.org/en/gustav-klimt/the-kiss-1908